use_llm,timestamp,path,media_reference,media_item_rid
"{country=, state_or_region=, postal_code=, full_address=}",2025-06-19T00:09:09.294Z,0.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.01978584-8e5b-7f8a-9fc1-51b8611d07c0""}}}",ri.mio.main.media-item.01978584-8e5b-7f8a-9fc1-51b8611d07c0
"{country=, state_or_region=, postal_code=, full_address=}",2025-06-19T00:09:13.613Z,1.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.01978584-8e96-749a-98b2-c45e1224a324""}}}",ri.mio.main.media-item.01978584-8e96-749a-98b2-c45e1224a324
"{country=India, state_or_region=, postal_code=500 032, full_address=Hyderabad–500 032, India}",2025-06-19T00:38:25.664Z,10004.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-524c-75e3-a1bc-0dc354eb5770""}}}",ri.mio.main.media-item.0197859f-524c-75e3-a1bc-0dc354eb5770
,2025-06-19T00:38:24.303Z,10007.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-526e-7329-b7c0-73dd05d22a03""}}}",ri.mio.main.media-item.0197859f-526e-7329-b7c0-73dd05d22a03
"{country=Jordan, state_or_region=, postal_code=11118, full_address=Hikma Pharmaceuticals, P.O. Box 182400, Amman 11118, Jordan}",2025-06-19T00:38:26.084Z,10018.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-52f1-7279-9798-8d123eabdee5""}}}",ri.mio.main.media-item.0197859f-52f1-7279-9798-8d123eabdee5
"{country=India, state_or_region=Gujarat, postal_code=382 210, full_address=Intas Pharmaceuticals Limited, Plot No.: 457, 458, Village – Matoda, Bavla Road, Ta. - Sanand, Dist. Ahmedabad – 382 210, India.}",2025-06-19T00:38:29.314Z,10020.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-6a1f-78c6-a477-8590783ac996""}}}",ri.mio.main.media-item.0197859f-6a1f-78c6-a477-8590783ac996
"{country=USA, state_or_region=, postal_code=, full_address=}",2025-06-19T00:38:27.975Z,10032.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-69c0-7dc2-96b5-210a92960bd4""}}}",ri.mio.main.media-item.0197859f-69c0-7dc2-96b5-210a92960bd4
"{country=, state_or_region=, postal_code=, full_address=}",2025-06-19T00:38:28.910Z,10038.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-69ff-74d4-b739-5e810af2f116""}}}",ri.mio.main.media-item.0197859f-69ff-74d4-b739-5e810af2f116
"{country=USA, state_or_region=, postal_code=, full_address=}",2025-06-19T00:38:30.251Z,10044.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-6a12-70d1-a652-a2105163b806""}}}",ri.mio.main.media-item.0197859f-6a12-70d1-a652-a2105163b806
,2025-06-19T00:38:31.558Z,10046.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-6a3c-7297-b1cc-b34455c0de75""}}}",ri.mio.main.media-item.0197859f-6a3c-7297-b1cc-b34455c0de75
