path,media_reference,country,state_or_region,postal_code,full_address,Unclear,,,,
0.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.01978584-8e5b-7f8a-9fc1-51b8611d07c0""}}}",India,Gujarat,389 350,,,,,,X
1.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.01978584-8e96-749a-98b2-c45e1224a324""}}}",USA,Michigan,49001,,,,,,X
10004.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-524c-75e3-a1bc-0dc354eb5770""}}}",India,Hyderabad,500 032,,,,,,X
10007.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-526e-7329-b7c0-73dd05d22a03""}}}",Portugal,Sintra,2705-906,,,,,,X
10018.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-52f1-7279-9798-8d123eabdee5""}}}",Jordan,Amman,11118,Hikma Pharmaceuticals,,,,,X
10020.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-6a1f-78c6-a477-8590783ac996""}}}",India,Gujarat,382 210,Intas Pharmaceuticals Limited,,,,,X
10032.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-69c0-7dc2-96b5-210a92960bd4""}}}",USA,Illinois,60047,,,,,,X
10038.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-69ff-74d4-b739-5e810af2f116""}}}",USA,Illinois,60047,,,,,,X
10044.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-6a12-70d1-a652-a2105163b806""}}}",France,Montrouge,92120,,TRUE,,,,X
10046.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-6a3c-7297-b1cc-b34455c0de75""}}}",USA,Illinois,60047,,,,,,X
10057.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-7f39-7188-91ca-9e1b25cefd8e""}}}",USA,Illinois,60015,Baxter Healthcare Corporation,,,,,X
10064.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-7f59-735f-a6b3-f3325f8f9e56""}}}",USA,Illinois,60015,Deerfield,,,,,X
10066.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-7f5e-78e4-861e-39b7d35cf906""}}}",Croatia,Zagreb,10000,Pliva Hrvatska d.o.o.,,,,,X
10067.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-7f70-7637-af47-85972161c106""}}}",Ireland,,,,,,,,X
10072.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-7fb5-79c9-909b-193d20697535""}}}",India,Kolar,563130,,,,,,X
1008.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.01978588-30b4-72a7-bb91-586211ab013c""}}}",India,,,,,,,,X
10083.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-9605-7f43-a0e6-9286b2014e48""}}}",India,Bangalore,,Bangalore,,,,,X
10084.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-9694-78a4-95dc-8179e31bcba8""}}}",India,Gujarat,382 213,,,,,,X
10095.xml.pdf,"{""mimeType"":""application/pdf"",""reference"":{""type"":""mediaSetViewItem"",""mediaSetViewItem"":{""mediaSetRid"":""ri.mio.main.media-set.e388d436-f9df-4bd4-bddf-4145cb915d58"",""mediaSetViewRid"":""ri.mio.main.view.83c51924-b798-486b-a771-de2ebbc31d6c"",""mediaItemRid"":""ri.mio.main.media-item.0197859f-96a3-7397-a15e-333dc60d3a60""}}}",,Germany,,,,,,,X
