ndc_id,ndc_code,location_id
0,47335-475-88,0
7807,47335-472-83,0
8196,47335-475-64,0
9095,47335-472-13,0
9627,47335-472-81,0
9628,47335-475-83,0
11563,47335-475-13,0
12918,47335-472-88,0
0,47335-475-88,1
7807,47335-472-83,1
8196,47335-475-64,1
9095,47335-472-13,1
9627,47335-472-81,1
9628,47335-475-83,1
11563,47335-475-13,1
12918,47335-472-88,1
1,0409-6562-22,2
8730,0409-6562-02,2
1,0409-6562-22,3
8730,0409-6562-02,3
601,65862-163-90,4
602,65862-163-90,4
603,65862-163-90,4
2405,65862-161-90,4
2406,65862-161-90,4
2407,65862-161-90,4
10004,65862-162-90,4
10005,65862-162-90,4
10006,65862-162-90,4
601,65862-163-90,5
602,65862-163-90,5
603,65862-163-90,5
2405,65862-161-90,5
2406,65862-161-90,5
2407,65862-161-90,5
10004,65862-162-90,5
10005,65862-162-90,5
10006,65862-162-90,5
8441,0143-9251-10,6
8442,0143-9251-10,6
8443,0143-9251-10,6
8444,0143-9251-10,6
8445,0143-9251-10,6
8446,0143-9251-10,6
8447,0143-9251-10,6
8448,0143-9251-10,6
8449,0143-9251-10,6
8450,0143-9251-10,6
8451,0143-9251-10,6
10007,0143-9250-10,6
10008,0143-9250-10,6
10009,0143-9250-10,6
10010,0143-9250-10,6
10011,0143-9250-10,6
10012,0143-9250-10,6
10013,0143-9250-10,6
10014,0143-9250-10,6
10015,0143-9250-10,6
10016,0143-9250-10,6
10017,0143-9250-10,6
8441,0143-9251-10,7
8442,0143-9251-10,7
8443,0143-9251-10,7
8444,0143-9251-10,7
8445,0143-9251-10,7
8446,0143-9251-10,7
8447,0143-9251-10,7
8448,0143-9251-10,7
8449,0143-9251-10,7
8450,0143-9251-10,7
8451,0143-9251-10,7
10007,0143-9250-10,7
10008,0143-9250-10,7
10009,0143-9250-10,7
10010,0143-9250-10,7
10011,0143-9250-10,7
10012,0143-9250-10,7
10013,0143-9250-10,7
10014,0143-9250-10,7
10015,0143-9250-10,7
10016,0143-9250-10,7
10017,0143-9250-10,7
10020,16729-512-43,8
10021,16729-512-43,8
10022,16729-512-43,8
10023,16729-512-43,8
10024,16729-512-43,8
10025,16729-512-43,8
10026,16729-512-43,8
10027,16729-512-43,8
10028,16729-512-43,8
10029,16729-512-43,8
10030,16729-512-43,8
10031,16729-512-43,8
10020,16729-512-43,9
10021,16729-512-43,9
10022,16729-512-43,9
10023,16729-512-43,9
10024,16729-512-43,9
10025,16729-512-43,9
10026,16729-512-43,9
10027,16729-512-43,9
10028,16729-512-43,9
10029,16729-512-43,9
10030,16729-512-43,9
10031,16729-512-43,9
5009,63323-165-01,10
5010,63323-165-01,10
5011,63323-165-01,10
5012,63323-165-01,10
5013,63323-165-01,10
5014,63323-165-01,10
10032,63323-165-05,10
10033,63323-165-05,10
10034,63323-165-05,10
10035,63323-165-05,10
10036,63323-165-05,10
10037,63323-165-05,10
10038,63323-165-30,10
10039,63323-165-30,10
10040,63323-165-30,10
10041,63323-165-30,10
10042,63323-165-30,10
10043,63323-165-30,10
5009,63323-165-01,11
5010,63323-165-01,11
5011,63323-165-01,11
5012,63323-165-01,11
5013,63323-165-01,11
5014,63323-165-01,11
10032,63323-165-05,11
10033,63323-165-05,11
10034,63323-165-05,11
10035,63323-165-05,11
10036,63323-165-05,11
10037,63323-165-05,11
10038,63323-165-30,11
10039,63323-165-30,11
10040,63323-165-30,11
10041,63323-165-30,11
10042,63323-165-30,11
10043,63323-165-30,11
2981,63323-466-17,10
2982,63323-466-17,10
2983,63323-466-17,10
2984,63323-466-17,10
2985,63323-466-17,10
2986,63323-466-17,10
2987,63323-466-17,10
2988,63323-466-17,10
2989,63323-466-17,10
2990,63323-466-17,10
2991,63323-466-17,10
4304,63323-460-37,10
4305,63323-460-37,10
4306,63323-460-37,10
4307,63323-460-37,10
4308,63323-460-37,10
9757,63323-466-37,10
9758,63323-466-37,10
9759,63323-466-37,10
9760,63323-466-37,10
9761,63323-466-37,10
9762,63323-466-37,10
9763,63323-466-37,10
9764,63323-466-37,10
9765,63323-466-37,10
9766,63323-466-37,10
9767,63323-466-37,10
10046,63323-467-57,10
10047,63323-467-57,10
10048,63323-467-57,10
10049,63323-467-57,10
10050,63323-467-57,10
10051,63323-467-57,10
10052,63323-467-57,10
10053,63323-467-57,10
10054,63323-467-57,10
10055,63323-467-57,10
10056,63323-467-57,10
13475,63323-465-57,10
13476,63323-465-57,10
13477,63323-465-57,10
13478,63323-465-57,10
13479,63323-465-57,10
13480,63323-465-57,10
13481,63323-465-57,10
13482,63323-465-57,10
13483,63323-465-57,10
13484,63323-465-57,10
13485,63323-465-57,10
13770,63323-466-31,10
13771,63323-466-31,10
13772,63323-466-31,10
13773,63323-466-31,10
13774,63323-466-31,10
13775,63323-466-31,10
13776,63323-466-31,10
13777,63323-466-31,10
13778,63323-466-31,10
13779,63323-466-31,10
13780,63323-466-31,10
2981,63323-466-17,11
2982,63323-466-17,11
2983,63323-466-17,11
2984,63323-466-17,11
2985,63323-466-17,11
2986,63323-466-17,11
2987,63323-466-17,11
2988,63323-466-17,11
2989,63323-466-17,11
2990,63323-466-17,11
2991,63323-466-17,11
4304,63323-460-37,11
4305,63323-460-37,11
4306,63323-460-37,11
4307,63323-460-37,11
4308,63323-460-37,11
9757,63323-466-37,11
9758,63323-466-37,11
9759,63323-466-37,11
9760,63323-466-37,11
9761,63323-466-37,11
9762,63323-466-37,11
9763,63323-466-37,11
9764,63323-466-37,11
9765,63323-466-37,11
9766,63323-466-37,11
9767,63323-466-37,11
10046,63323-467-57,11
10047,63323-467-57,11
10048,63323-467-57,11
10049,63323-467-57,11
10050,63323-467-57,11
10051,63323-467-57,11
10052,63323-467-57,11
10053,63323-467-57,11
10054,63323-467-57,11
10055,63323-467-57,11
10056,63323-467-57,11
13475,63323-465-57,11
13476,63323-465-57,11
13477,63323-465-57,11
13478,63323-465-57,11
13479,63323-465-57,11
13480,63323-465-57,11
13481,63323-465-57,11
13482,63323-465-57,11
13483,63323-465-57,11
13484,63323-465-57,11
13485,63323-465-57,11
13770,63323-466-31,11
13771,63323-466-31,11
13772,63323-466-31,11
13773,63323-466-31,11
13774,63323-466-31,11
13775,63323-466-31,11
13776,63323-466-31,11
13777,63323-466-31,11
13778,63323-466-31,11
13779,63323-466-31,11
13780,63323-466-31,11
1414,0338-3814-50,12
1415,0338-3814-50,12
1416,0338-3814-50,12
1417,0338-3814-50,12
1418,0338-3814-50,12
1419,0338-3814-50,12
1420,0338-3814-50,12
6250,0338-3410-50,12
6251,0338-3410-50,12
6252,0338-3410-50,12
6253,0338-3410-50,12
6254,0338-3410-50,12
6255,0338-3410-50,12
6256,0338-3410-50,12
10057,0338-3612-50,12
10058,0338-3612-50,12
10059,0338-3612-50,12
10060,0338-3612-50,12
10061,0338-3612-50,12
10062,0338-3612-50,12
10063,0338-3612-50,12
1414,0338-3814-50,13
1415,0338-3814-50,13
1416,0338-3814-50,13
1417,0338-3814-50,13
1418,0338-3814-50,13
1419,0338-3814-50,13
1420,0338-3814-50,13
6250,0338-3410-50,13
6251,0338-3410-50,13
6252,0338-3410-50,13
6253,0338-3410-50,13
6254,0338-3410-50,13
6255,0338-3410-50,13
6256,0338-3410-50,13
10057,0338-3612-50,13
10058,0338-3612-50,13
10059,0338-3612-50,13
10060,0338-3612-50,13
10061,0338-3612-50,13
10062,0338-3612-50,13
10063,0338-3612-50,13
1375,0338-1049-02,12
1376,0338-1049-02,12
10064,0338-1051-02,12
10065,0338-1051-02,12
12948,0338-1047-02,12
12949,0338-1047-02,12
1375,0338-1049-02,14
1376,0338-1049-02,14
10064,0338-1051-02,14
10065,0338-1051-02,14
12948,0338-1047-02,14
12949,0338-1047-02,14
8963,0409-3189-10,2
8964,0409-3189-10,2
8965,0409-3189-10,2
8966,0409-3189-10,2
8967,0409-3189-10,2
8968,0409-3189-10,2
8969,0409-3189-10,2
8970,0409-3189-10,2
8971,0409-3189-10,2
8972,0409-3189-10,2
8973,0409-3189-10,2
10072,0409-7037-10,2
10073,0409-7037-10,2
10074,0409-7037-10,2
10075,0409-7037-10,2
10076,0409-7037-10,2
10077,0409-7037-10,2
10078,0409-7037-10,2
10079,0409-7037-10,2
10080,0409-7037-10,2
10081,0409-7037-10,2
10082,0409-7037-10,2
8963,0409-3189-10,15
8964,0409-3189-10,15
8965,0409-3189-10,15
8966,0409-3189-10,15
8967,0409-3189-10,15
8968,0409-3189-10,15
8969,0409-3189-10,15
8970,0409-3189-10,15
8971,0409-3189-10,15
8972,0409-3189-10,15
8973,0409-3189-10,15
10072,0409-7037-10,15
10073,0409-7037-10,15
10074,0409-7037-10,15
10075,0409-7037-10,15
10076,0409-7037-10,15
10077,0409-7037-10,15
10078,0409-7037-10,15
10079,0409-7037-10,15
10080,0409-7037-10,15
10081,0409-7037-10,15
10082,0409-7037-10,15
8963,0409-3189-10,16
8964,0409-3189-10,16
8965,0409-3189-10,16
8966,0409-3189-10,16
8967,0409-3189-10,16
8968,0409-3189-10,16
8969,0409-3189-10,16
8970,0409-3189-10,16
8971,0409-3189-10,16
8972,0409-3189-10,16
8973,0409-3189-10,16
10072,0409-7037-10,16
10073,0409-7037-10,16
10074,0409-7037-10,16
10075,0409-7037-10,16
10076,0409-7037-10,16
10077,0409-7037-10,16
10078,0409-7037-10,16
10079,0409-7037-10,16
10080,0409-7037-10,16
10081,0409-7037-10,16
10082,0409-7037-10,16
1008,70069-061-10,17
1009,70069-061-10,17
1010,70069-061-10,17
1011,70069-061-10,17
1012,70069-061-10,17
1013,70069-061-10,17
1014,70069-061-10,17
1015,70069-061-10,17
1016,70069-061-10,17
2120,70069-064-10,17
2121,70069-064-10,17
2122,70069-064-10,17
2123,70069-064-10,17
2124,70069-064-10,17
2125,70069-064-10,17
2126,70069-064-10,17
2127,70069-064-10,17
2128,70069-064-10,17
5657,70069-062-10,17
5658,70069-062-10,17
5659,70069-062-10,17
5660,70069-062-10,17
5661,70069-062-10,17
5662,70069-062-10,17
5663,70069-062-10,17
5664,70069-062-10,17
5665,70069-062-10,17
7383,70069-064-25,17
7384,70069-064-25,17
7385,70069-064-25,17
7386,70069-064-25,17
7387,70069-064-25,17
7388,70069-064-25,17
7389,70069-064-25,17
7390,70069-064-25,17
7391,70069-064-25,17
8170,70069-064-01,17
8171,70069-064-01,17
8172,70069-064-01,17
8173,70069-064-01,17
8174,70069-064-01,17
8175,70069-064-01,17
8176,70069-064-01,17
8177,70069-064-01,17
8178,70069-064-01,17
9316,70069-061-25,17
9317,70069-061-25,17
9318,70069-061-25,17
9319,70069-061-25,17
9320,70069-061-25,17
9321,70069-061-25,17
9322,70069-061-25,17
9323,70069-061-25,17
9324,70069-061-25,17
14002,70069-062-25,17
14003,70069-062-25,17
14004,70069-062-25,17
14005,70069-062-25,17
14006,70069-062-25,17
14007,70069-062-25,17
