ndc_code,ndc_id
47335-475-88,0
0409-6562-22,1
82667-800-01,2
13107-068-01,3
13107-068-01,4
13107-068-01,5
13107-068-01,6
13107-068-01,7
13107-068-01,8
13107-068-01,9
13107-068-01,10
13107-068-01,11
13107-068-01,12
13107-068-01,13
13107-068-01,14
13107-068-01,15
13107-068-01,16
13107-068-01,17
64253-400-91,18
64253-400-91,19
64253-400-91,20
64253-400-91,21
64253-400-91,22
64253-400-91,23
64253-400-91,24
64253-400-91,25
64253-400-91,26
64253-400-91,27
64253-400-91,28
64253-400-91,29
63304-693-11,30
63323-493-91,31
63323-493-91,32
63323-493-91,33
63323-493-91,34
63323-493-91,35
63323-493-91,36
63323-493-91,37
63323-493-91,38
63323-493-91,39
63323-493-91,40
63323-493-91,41
63323-493-91,42
63323-493-91,43
63323-493-91,44
63323-493-91,45
63323-493-91,46
0121-4950-40,47
0121-4950-40,48
0121-4950-40,49
0121-4950-40,50
0121-4950-40,51
60505-4741-1,52
60505-4741-1,53
60505-4741-1,54
60505-4741-1,55
60505-4741-1,56
60505-4741-1,57
60505-4741-1,58
60505-4741-1,59
60505-4741-1,60
60505-4741-1,61
60505-4741-1,62
60505-4741-1,63
60505-4741-1,64
60505-4741-1,65
60505-4741-1,66
60505-4741-1,67
0480-3566-01,68
0480-3566-01,69
0480-3566-01,70
0480-3566-01,71
0480-3566-01,72
0480-3566-01,73
0480-3566-01,74
0480-3566-01,75
0480-3566-01,76
0480-3566-01,77
0480-3566-01,78
0480-3566-01,79
0480-3566-01,80
0480-3566-01,81
0480-3566-01,82
0480-3566-01,83
11534-195-01,84
11534-195-01,85
11534-195-01,86
11534-195-01,87
11534-195-01,88
11534-195-01,89
11534-195-01,90
11534-195-01,91
11534-195-01,92
11534-195-01,93
11534-195-01,94
11534-195-01,95
11534-195-01,96
11534-195-01,97
11534-195-01,98
59572-102-01,99
59572-102-01,100
59572-102-01,101
59572-102-01,102
59572-102-01,103
59572-102-01,104
59572-102-01,105
59572-102-01,106
0409-1749-10,107
0409-1749-10,108
0409-1749-10,109
0409-1749-10,110
0409-1749-10,111
0143-9933-25,112
0143-9933-25,113
72572-076-24,114
72572-076-24,115
72572-076-24,116
72572-076-24,117
72572-076-24,118
72572-076-24,119
72572-076-24,120
76329-1912-1,121
76329-1912-1,122
76329-1912-1,123
76329-1912-1,124
76329-1912-1,125
76329-1912-1,126
76329-1912-1,127
76329-1912-1,128
76329-1912-1,129
76329-1912-1,130
76329-1912-1,131
76329-1912-1,132
0406-1170-03,133
0406-1170-03,134
0406-1170-03,135
0406-1170-03,136
0406-1170-03,137
0406-1170-03,138
0406-1170-03,139
0228-2069-10,140
0093-7201-10,141
0641-6082-25,142
0641-6082-25,143
0641-6082-25,144
0641-6082-25,145
50268-708-15,146
0591-2998-01,147
65862-586-05,148
60505-3849-1,149
0173-0897-13,150
0338-0411-02,151
0338-0411-02,152
0338-0411-02,153
0338-0411-02,154
0338-0411-02,155
0338-0411-02,156
0338-0411-02,157
0338-0411-02,158
0338-0411-02,159
0338-0411-02,160
0338-0411-02,161
0338-0411-02,162
0338-0411-02,163
0338-0411-02,164
0338-0411-02,165
0338-0411-02,166
0054-0375-25,167
0054-0375-25,168
0054-0375-25,169
0054-0375-25,170
0054-0375-25,171
0054-0375-25,172
0054-0375-25,173
0054-0375-25,174
0054-0375-25,175
0054-0375-25,176
0054-0375-25,177
0054-0375-25,178
0054-0375-25,179
0054-0375-25,180
0054-0375-25,181
0054-0375-25,182
62037-727-01,183
62037-727-01,184
62037-727-01,185
62037-727-01,186
62037-727-01,187
62037-727-01,188
62037-727-01,189
62037-727-01,190
62037-727-01,191
13811-710-30,192
13811-710-30,193
13811-710-30,194
13811-710-30,195
13811-710-30,196
13811-710-30,197
13811-710-30,198
13811-710-30,199
13811-710-30,200
65219-466-60,201
65219-466-60,202
65219-466-60,203
65219-466-60,204
65219-466-60,205
65219-466-60,206
65219-466-60,207
65219-466-60,208
65219-466-60,209
65219-466-60,210
65219-466-60,211
65219-466-60,212
65219-466-60,213
65219-466-60,214
65219-466-60,215
65219-466-60,216
65219-466-60,217
65219-466-60,218
65219-466-60,219
65219-466-60,220
65219-466-60,221
65219-466-60,222
65219-466-60,223
65219-466-60,224
65219-466-60,225
65219-466-60,226
0338-0048-02,227
0338-0048-02,228
0338-0048-02,229
0338-0048-02,230
0338-1130-06,231
0338-1130-06,232
0338-1130-06,233
0338-1130-06,234
0338-1130-06,235
0527-1505-37,236
0527-1505-37,237
