duns_number,address,firm_name
695293236,"167 Songpa-daero, Songpa-gu, Seoul, - 05855, Korea, South (KOR)","Kolive Cell Co., Ltd"
450895739,"No. 126, Shop Building 7, Zhonghai Yuejing Garden, Kangle Community, Nanwan Street, Longgang District, Shenzhen, Guangdong 518000, China (CHN)","Shenzhen TeLaFaErJiaLuo Technology Co., Ltd."
541563002,"West of Hongye Road, North of Fumin Road, Taihe County Economic Development Area, Fuyang, Anhui 236000, China (CHN)","Anhui Hongteng Pharmaceutical Co.,Ltd."
457126192,"Room 2，Floor 1, No. 24, Pujiang Road, Longhu District, Shantou, Guangdong 515000, China (CHN)","Shantou South Moon Biotechnology Co., Ltd."
695235330,"196 Gasan digital 1-ro, Geumcheon-gu, Seoul,  08502, Korea, South (KOR)",sunkyung trading
412779339,"Room 1506, 5th Floor, No. 1719-1 Huishan Avenue, Huishan Economic Development Zone, Wuxi,  214174, China (CHN)","WU XI ZHONG ZHI WEI NA TECHNOLOGY CO., Ltd."
698455780,"311, Maikelong Building, No.6, Shequ Gaoxin Nanliudao, High-Tech Zone, Yuehai Sub-District , Nanshan District, Shenzhen,  518000, China (CHN)","Shenzhen Ze'ai Electronic Co., Ltd."
271408412,"Rue Grands Navoirs, Chauny,  F-02300, France (FRA)",DSP
986154341,"Moneen Road, Castlebar, County Mayo F23 XR63, Ireland (IRL)",VANTIVE MANUFACTURING LIMITED
690535893,"2-10-50, FURUKAWACHOMUKAIMACHI, Hida-shi, Gifu 509-4241, Japan (JPN)","Alps Pharmaceutical Ind. Co., Ltd."
313113144,"Kalkstr. 218, Leverkusen,  51377, Germany (DEU)",Dynamit Nobel GmbH Explosivstoff- und Systemtechnik
276495414,"4 La Paterie, Vertolaye,  63480, France (FRA)",EUROAPI FRANCE
810432484,"Av. de Los 50 Metros No. 2, Jiutepec, Morelos 62578, Mexico (MEX)","Baxter, S.A. de C.V."
079771188,"2140 Industrial Avenue, Madera, California (CA) 93637, United States (USA)","Nutra Blend, LLC"
039106281,"233 S. Secrest Ave, Monroe, North Carolina (NC) 28112, United States (USA)","Tyson Foods, Inc"
