uq_duns,oai_count
3013703000,1
1000526900,1
3013147895,1
1000121624,6
1000132299,2
3006349554,1
3005117563,3
2912388,1
3006317477,1
3013321339,1
1950046,3
1037559,1
3007309337,1
3009771624,1
3012069146,2
1513988,1
3003813327,2
3017153258,1
1032500,1
3004433842,1
3018755991,1
3003821988,4
3029236854,1
2013736,1
3008226137,1
1450054,1
3010314796,1
2083373,1
3003999190,2
3022306074,1
3004007943,3
3017125065,2
3012853845,1
3003350069,2
3003059934,3
3016555297,1
1000448124,1
3014581785,1
3027267279,1
3013538760,1
3014253278,1
3028192440,1
3002806460,1
3002807958,2
2211383,2
3022380309,1
3013719300,1
3009868709,1
3010409377,1
3007175559,1
3011751788,1
3013433273,1
3003929069,1
3010364830,1
3014244255,1
3024522473,1
3007058211,1
3006851654,2
3004319366,1
3016774658,1
3022553689,1
3026767012,1
3027036172,1
3017219182,1
2020372,4
3004286823,1
3002914735,1
3000913784,1
3003906462,1
3014957357,3
3003696942,2
3015509166,1
3011061274,1
3003878590,2
3011640199,1
3001769828,2
3011346498,1
3025039932,1
1319086,1
3004293613,2
3011152407,4
3012796281,1
3006403166,1
3009350497,1
3018589922,1
1927341,1
3003245034,1
3007490529,1
3016841297,1
1920349,1
1417123,1
3001236208,2
3011845012,1
1000337046,1
3004094142,1
3014438694,1
3002806978,1
3002994577,4
3011873350,2
3004723334,6
3016787260,1
3003092372,2
1920360,1
3004947391,1
3015265204,1
3004790309,1
3009569638,1
1416980,1
3009963974,2
3003426240,1
3000205837,1
1210580,2
1629960,1
3012809762,1
3011137754,1
3011568807,1
3009953335,3
3017408112,1
3016837288,1
3006442186,1
3007090726,3
1220423,1
3013856804,4
3006210769,3
3007389902,1
3010164603,2
3001623073,3
3005211905,1
3002992961,1
1000121391,1
3013927966,1
3005048741,2
3004420738,1
1314737,1
3015892095,1
1218077,1
3004471600,2
3005057567,1
3004000736,1
3003721861,1
3003994440,1
3008460374,1
3004667050,1
3013514280,1
3019167311,1
3012305678,1
3002998723,2
3011800162,3
3017441754,1
3030358101,1
3008209195,1
