duns_number,uq_duns,count
3013703000,3013703000,1
1000526900,1000526900,1
3013147895,3013147895,1
1000121624,1000121624,6
1000132299,1000132299,2
3006349554,3006349554,1
3005117563,3005117563,3
2912388,2912388,1
3006317477,3006317477,1
3013321339,3013321339,1
1950046,1950046,3
1037559,1037559,1
3007309337,3007309337,1
3009771624,3009771624,1
3012069146,3012069146,2
3012069146,1513988,1
1513988,3003813327,2
3003813327,3017153258,1
3017153258,1032500,1
1032500,3004433842,1
3004433842,3018755991,1
3018755991,3003821988,4
3003821988,3029236854,1
3029236854,2013736,1
2013736,3008226137,1
3008226137,1450054,1
1450054,3010314796,1
3010314796,2083373,1
2083373,3003999190,2
3003999190,3022306074,1
3022306074,3004007943,3
3004007943,3017125065,2
3017125065,3012853845,1
3012853845,3003350069,2
3003350069,3003059934,3
3003350069,3016555297,1
3003059934,1000448124,1
3016555297,3014581785,1
1000448124,3027267279,1
3014581785,3013538760,1
3027267279,3014253278,1
3013538760,3028192440,1
3014253278,3002806460,1
3028192440,3002807958,2
3002806460,2211383,2
3002807958,3022380309,1
2211383,3013719300,1
3022380309,3009868709,1
3013719300,3010409377,1
3009868709,3007175559,1
3010409377,3011751788,1
3007175559,3013433273,1
3011751788,3003929069,1
3013433273,3010364830,1
3003929069,3014244255,1
3010364830,3024522473,1
3014244255,3007058211,1
3024522473,3006851654,2
3007058211,3004319366,1
3006851654,3016774658,1
3004319366,3022553689,1
3016774658,3026767012,1
3022553689,3027036172,1
3026767012,3017219182,1
3027036172,2020372,4
3017219182,3004286823,1
2020372,3002914735,1
2020372,3000913784,1
3004286823,3003906462,1
3002914735,3014957357,3
3000913784,3003696942,2
3003906462,3015509166,1
3014957357,3011061274,1
3003696942,3003878590,2
3015509166,3011640199,1
3011061274,3001769828,2
3003878590,3011346498,1
3011640199,3025039932,1
3001769828,1319086,1
3011346498,3004293613,2
3025039932,3011152407,4
1319086,3012796281,1
3004293613,3006403166,1
3011152407,3009350497,1
3012796281,3018589922,1
3006403166,1927341,1
3009350497,3003245034,1
3018589922,3007490529,1
1927341,3016841297,1
3003245034,1920349,1
3007490529,1417123,1
3016841297,3001236208,2
1920349,3011845012,1
1417123,1000337046,1
3001236208,3004094142,1
3011845012,3014438694,1
1000337046,3002806978,1
3004094142,3002994577,4
3014438694,3011873350,2
3002806978,3004723334,6
3002994577,3016787260,1
3011873350,3003092372,2
3004723334,1920360,1
3016787260,3004947391,1
3003092372,3015265204,1
1920360,3004790309,1
3004947391,3009569638,1
3015265204,1416980,1
3004790309,3009963974,2
3009569638,3003426240,1
1416980,3000205837,1
3009963974,1210580,2
3003426240,1629960,1
3000205837,3012809762,1
1210580,3011137754,1
1629960,3011568807,1
3012809762,3009953335,3
3011137754,3017408112,1
3011568807,3016837288,1
3009953335,3006442186,1
3017408112,3007090726,3
3016837288,1220423,1
3006442186,3013856804,4
3007090726,3006210769,3
1220423,3007389902,1
3013856804,3010164603,2
3006210769,3001623073,3
3007389902,3005211905,1
3010164603,3002992961,1
3001623073,1000121391,1
3001623073,3013927966,1
3005211905,3005048741,2
3002992961,3004420738,1
1000121391,1314737,1
3013927966,3015892095,1
3005048741,1218077,1
3004420738,3004471600,2
1314737,3005057567,1
3015892095,3004000736,1
1218077,3003721861,1
3004471600,3003994440,1
3005057567,3008460374,1
3004000736,3004667050,1
3003721861,3013514280,1
3003994440,3019167311,1
3008460374,3012305678,1
3004667050,3002998723,2
3013514280,3011800162,3
3019167311,3017441754,1
3012305678,3030358101,1
3002998723,3008209195,1
3011800162,3009883410,1
3017441754,3002657228,1
3030358101,3009705561,3
3008209195,3019769008,1
3009883410,3004397149,2
3002657228,3017442763,1
3009705561,3013712903,1
3019769008,3030396555,1
3004397149,3007001714,1
3017442763,3010165406,1
3013712903,3002463752,2
3030396555,3019638306,1
3007001714,3014739297,1
3010165406,2516287,1
3002463752,3016665985,2
3019638306,3004153045,1
3014739297,3004396086,1
2516287,3014773352,1
3016665985,3005587188,3
3016665985,3007255059,1
3004153045,3006283468,1
3004396086,3001802820,1
3014773352,3008420443,4
3005587188,3005350897,12
3007255059,3015365441,2
3006283468,3002088200,1
3004397149,3010999645,1
3001802820,3014137184,1
3008420443,3018748915,1
3005350897,3023533273,2
3015365441,3021091668,1
3002088200,3002808145,2
3010999645,3000215345,1
3014137184,1000122754,1
3018748915,3015097434,1
3023533273,3007687501,1
1950046,3029994548,1
3021091668,3005285276,1
3002808145,2246566,1
3000215345,3010892830,2
1000122754,3007320756,1
3015097434,1025114,6
3007687501,3006676534,1
3029994548,3008461619,1
3005285276,3008235829,1
2246566,3010203410,1
3010892830,3015282935,1
3007320756,3017888878,2
1025114,3021131560,1
3006676534,3005274476,1
3008461619,3014129013,1
3008235829,3017366969,1
3010203410,3007373503,1
3015282935,3010551060,1
3017888878,1928615,1
3021131560,3015521757,1
3005274476,1610434,1
3004471600,3017151342,1
3014129013,3009509949,1
3017366969,1120890,1
3007373503,2023614,5
3010551060,3001744192,3
1928615,3000241849,1
3015521757,3005698871,1
1610434,3004043340,1
3017151342,3010222586,3
3009509949,3006010954,1
1120890,3008384335,1
2023614,3012821715,1
3001744192,3005945400,2
3000241849,3011368010,3
3005698871,3012281081,1
3004043340,3002718545,1
3010222586,1000125370,1
3006010954,3015305066,1
3008384335,3025978151,1
3012821715,3019956301,1
3005945400,3011006339,4
3011368010,3024655174,1
3012281081,3008701241,1
2020372,3025796006,1
2020372,3026057413,1
3002718545,3016998650,1
1000125370,3012668529,1
3015305066,3003320065,1
3025978151,1920543,1
3019956301,3014630458,1
3011006339,3011851548,1
3024655174,3010164449,2
3008701241,3014759234,1
3025796006,3005668178,1
3026057413,3010970108,1
3016998650,3006684386,1
3012668529,3005835723,1
3003320065,3007709579,2
1920543,3010683345,1
3014630458,3013736415,1
3011851548,3011853060,1
3010164449,3005787511,1
3010164449,3018061317,1
3014759234,3016668136,1
3005668178,3007187282,2
1025114,3013374118,3
3010970108,3004901508,1
3006684386,3015425659,1
3005835723,3006210232,3
3017125065,3001746542,2
3007709579,3004654754,1
3010683345,3004107906,2
3013736415,3005727243,1
3011853060,3005698544,1
3005787511,3002692859,1
3018061317,3002984417,1
3016668136,1000208853,3
3007187282,1610391,1
3013374118,3012275336,3
3004901508,3002556034,1
3015425659,2510734,3
3006210232,3005574978,1
3001746542,3005753252,1
3004654754,3002992930,2
3004107906,3004464535,2
3005727243,3013239405,1
3002994577,3003068822,3
3005698544,3015826784,2
3002692859,3011139911,1
3002984417,3003723117,1
1000208853,3012139887,1
1610391,1000025822,3
3012275336,3027391357,2
3002556034,3016418266,1
2510734,3013501887,1
3005574978,1000036852,1
3005753252,3017399141,1
3002992930,3025983703,1
3004464535,1618160,1
3013239405,3003067499,1
3009953335,3017199840,1
3003068822,1000122232,3
3015826784,3027503130,3
3011139911,3006531950,4
3003723117,3003229412,4
3012139887,3003053677,3
1000025822,3019843904,1
3027391357,1000069719,4
3027391357,2310620,2
3016418266,3005979923,1
3013501887,3009127711,1
1000036852,3006057298,1
3017399141,3005334016,1
3025983703,3010704905,2
1618160,3011320041,1
3003067499,3011513461,1
3017199840,3004453700,2
1000122232,1000305509,1
3027503130,3010840309,2
3006531950,3025422586,1
3003229412,3009713694,2
3003053677,3018752619,1
3019843904,3027394593,1
1000069719,3027349282,1
2310620,3005508230,1
2310620,3012073956,1
3003059934,1480885,2
3005979923,3009946959,3
3009127711,1000071237,2
3003092372,3025922936,1
3006057298,3005280525,2
3005334016,3005269310,1
3010704905,3025995723,1
3011320041,3003974891,1
3011513461,3008847088,1
3004453700,3016420687,1
1000305509,1910648,6
3010840309,3014469173,4
3025422586,3000204701,1
3009713694,2126821,2
3018752619,3011316404,1
3027394593,3007267856,1
3027349282,3013171766,2
3005508230,3026147808,1
3012073956,3012553246,1
1480885,3008298016,1
3009946959,3005871025,3
1000071237,2011035,2
3002463752,3013927023,3
3025922936,1000110034,1
3005280525,3003747592,2
3005269310,3009590582,3
3025995723,3007295883,1
3003974891,3018035065,1
3008847088,2246824,3
3016420687,3022210898,1
1910648,3003469576,1
1910648,3008712484,1
3014469173,1218914,4
3014469173,1450763,1
3000204701,3003921470,1
2126821,3008932049,2
3011316404,3005897621,1
3007267856,3009814715,1
3013171766,2242327,2
3026147808,3012323885,1
3012553246,3005124189,3
3008298016,1031041,1
3005871025,3017371366,1
2011035,3008611487,1
3013927023,1922337,1
1000110034,3008581988,1
3003747592,3002443240,1
3009590582,2026940,3
3007295883,1626310,4
3018035065,3004876794,2
2246824,3014015976,2
3022210898,3014109782,1
3003469576,3008861619,1
3008712484,3013239969,3
1218914,1250013,2
1218914,3007253462,1
1450763,3012013973,1
3003921470,2431841,1
3008932049,3002616986,1
1950046,1915076,1
3005897621,3015928879,1
3009814715,3004610460,3
2242327,3010165392,1
3012323885,3024611819,1
1000025822,3004731564,3
3005124189,3010744574,1
1031041,3007450508,2
3008420443,3012234853,1
3017371366,3015283219,2
3008611487,3004758248,1
1922337,3007751703,9
3008581988,3023259471,2
3002443240,3005702355,1
3011800162,1417519,2
2026940,3023815166,1
1626310,3011627411,2
3004876794,3023890987,1
1210580,1921601,1
3014015976,3023878838,1
3014109782,2025064,1
3008861619,3003094018,1
3013239969,3004011473,1
1250013,3004858203,1
3007253462,3007618410,2
3012013973,3002807511,3
2431841,3019411371,1
3002616986,3003973520,1
1915076,2246857,1
3015928879,3004086192,2
3004610460,3005841768,1
3010165392,3003767891,1
3007090726,2517008,1
3024611819,3006658780,1
3004731564,3015269827,1
3004731564,3004845420,4
3004731564,3016775373,1
3010744574,3009331372,1
3007450508,3002960047,1
3012234853,3002686308,1
3015283219,3003569803,1
3004758248,3007562389,1
2211383,3006900385,2
3007751703,3002806922,2
3023259471,3007317099,2
3023259471,1000171152,1
3005945400,3003659249,1
3013856804,3010241801,3
3005702355,3023464259,1
1417519,3008941209,1
3023815166,3000204955,3
3011627411,1920841,1
3023890987,3007652252,2
1921601,3017871874,2
3023878838,3011196914,1
2025064,3022938366,1
3011006339,3012285699,1
3003094018,3005029956,1
3004011473,2435254,3
3002998723,3015145884,1
3004858203,2627511,6
3007618410,3011967886,2
3002807511,1000135880,3
3019411371,3004943112,1
3003973520,3001697625,1
2246857,3003598505,2
3004086192,3020491814,1
3005841768,3023493558,1
3003767891,3010166780,1
2517008,3009768800,1
3006658780,3003096558,1
3015269827,3014278936,1
3004845420,3011761882,1
3016775373,3001238690,1
3009331372,1818911,1
3002960047,1950348,8
3002686308,1036352,1
3003569803,3005320466,3
3007562389,3008927553,1
3006900385,3011545418,1
3002806922,3001184984,2
3007317099,3003908435,1
1000171152,3004081307,3
3010222586,3016076203,1
3003659249,3001432470,4
3010241801,3015237167,1
3023464259,3002807979,2
3008941209,3011572099,1
3023533273,3019300800,1
3000204955,3015826782,1
1920841,3014117482,1
3007652252,3011887629,3
3017871874,3003982153,1
3017871874,3003348498,2
3011196914,1940465,4
3022938366,3006895982,3
3012285699,3003945152,1
3005029956,3015168914,1
2435254,3002750286,1
3015145884,3011622931,1
2627511,1413475,3
3011967886,3007616930,1
1000135880,3011069063,1
3004943112,3005519645,2
3001697625,1035794,2
3003598505,3017303868,1
3020491814,3015320016,1
3023493558,1215362,1
3010166780,3022205731,1
3009768800,3004497364,2
3003096558,1450022,2
3014278936,3010589333,3
3011761882,3009872426,1
3001238690,3002892007,1
1818911,1310093,2
1950348,3005757050,1
