ndc_code,proprietary_name,drug_dosage,drug_strength,ndc_id,drug_id,manufacturer_name
47335-475-88,Imatinib Mesylate,Tablet,400 mg,0,218,Sun Pharmaceutical Industries Limited
0409-6562-22,Depo-Testosterone,Injection,200 mg/1 mL,1,437,Pfizer Inc.
82667-800-01,Triesence,Injection,40 mg/1 mL,2,215,"Harrow Eye, LLC"
13107-068-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg,3,630,Aurobindo Pharma USA
13107-068-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg,4,626,Aurobindo Pharma USA
13107-068-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg,5,590,Aurobindo Pharma USA
13107-068-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg,6,516,Aurobindo Pharma USA
13107-068-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg,7,481,Aurobindo Pharma USA
13107-068-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg,8,474,Aurobindo Pharma USA
13107-068-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg,9,452,Aurobindo Pharma USA
13107-068-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg,10,236,Aurobindo Pharma USA
13107-068-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg,11,197,Aurobindo Pharma USA
13107-068-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg,12,181,Aurobindo Pharma USA
13107-068-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg,13,171,Aurobindo Pharma USA
13107-068-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg,14,170,Aurobindo Pharma USA
13107-068-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg,15,110,Aurobindo Pharma USA
13107-068-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg,16,46,Aurobindo Pharma USA
13107-068-01,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate",Tablet,1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg,17,45,Aurobindo Pharma USA
64253-400-91,Atropine Sulfate,Injection,.1 mg/1 mL,18,612,"Medefil, Inc."
64253-400-91,Atropine Sulfate,Injection,.1 mg/1 mL,19,573,"Medefil, Inc."
64253-400-91,Atropine Sulfate,Injection,.1 mg/1 mL,20,513,"Medefil, Inc."
64253-400-91,Atropine Sulfate,Injection,.1 mg/1 mL,21,421,"Medefil, Inc."
64253-400-91,Atropine Sulfate,Injection,.1 mg/1 mL,22,345,"Medefil, Inc."
64253-400-91,Atropine Sulfate,Injection,.1 mg/1 mL,23,330,"Medefil, Inc."
64253-400-91,Atropine Sulfate,Injection,.1 mg/1 mL,24,296,"Medefil, Inc."
64253-400-91,Atropine Sulfate,Injection,.1 mg/1 mL,25,232,"Medefil, Inc."
64253-400-91,Atropine Sulfate,Injection,.1 mg/1 mL,26,157,"Medefil, Inc."
