duns_number,firm_name,address
695293236,"Kolive Cell Co., Ltd","167 Songpa-daero, Songpa-gu, Seoul, - 05855, Korea, South (KOR)"
698455780,"Shenzhen Ze'ai Electronic Co., Ltd.","311, Maikelong Building, No.6, Shequ Gaoxin Nanliudao, High-Tech Zone, Yuehai Sub-District , Nanshan District, Shenzhen,  518000, China (CHN)"
412779339,"WU XI ZHONG ZHI WEI NA TECHNOLOGY CO., Ltd.","Room 1506, 5th Floor, No. 1719-1 Huishan Avenue, Huishan Economic Development Zone, Wuxi,  214174, China (CHN)"
541563002,"Anhui Hongteng Pharmaceutical Co.,Ltd.","West of Hongye Road, North of Fumin Road, Taihe County Economic Development Area, Fuyang, Anhui 236000, China (CHN)"
450895739,"Shenzhen TeLaFaErJiaLuo Technology Co., Ltd.","No. 126, Shop Building 7, Zhonghai Yuejing Garden, Kangle Community, Nanwan Street, Longgang District, Shenzhen, Guangdong 518000, China (CHN)"
271408412,DSP,"Rue Grands Navoirs, Chauny,  F-02300, France (FRA)"
986154341,VANTIVE MANUFACTURING LIMITED,"Moneen Road, Castlebar, County Mayo F23 XR63, Ireland (IRL)"
690535893,"Alps Pharmaceutical Ind. Co., Ltd.","2-10-50, FURUKAWACHOMUKAIMACHI, Hida-shi, Gifu 509-4241, Japan (JPN)"
313113144,Dynamit Nobel GmbH Explosivstoff- und Systemtechnik,"Kalkstr. 218, Leverkusen,  51377, Germany (DEU)"
276495414,EUROAPI FRANCE,"4 La Paterie, Vertolaye,  63480, France (FRA)"
810432484,"Baxter, S.A. de C.V.","Av. de Los 50 Metros No. 2, Jiutepec, Morelos 62578, Mexico (MEX)"
079771188,"Nutra Blend, LLC","2140 Industrial Avenue, Madera, California (CA) 93637, United States (USA)"
039106281,"Tyson Foods, Inc","233 S. Secrest Ave, Monroe, North Carolina (NC) 28112, United States (USA)"
188834501,"Tyson Foods, Inc","855 Industrial Park Dr SE, Magee, Mississippi (MS) 39111, United States (USA)"
118714473,"Amick Farms, LLC","631 Hawkes Rd #2, Laurel, Mississippi (MS) 39443, United States (USA)"
018280375,"Tyson Chicken, Inc.","1100 Railroad Ave, Albertville, Alabama (AL) 35951, United States (USA)"
004845225,"Amick Farms, LLC","8336 Highway 23, Monetta, South Carolina (SC) 29105, United States (USA)"
042948240,"Tyson Foods, Inc","206 Tyson Dr., Estill Springs, Tennessee (TN) 37330, United States (USA)"
837181338,"Tyson Foods, Inc","4949 State Hwy 90 W, Oglethorpe, Georgia (GA) 31068, United States (USA)"
173531005,"Multi-Kare, Inc.","555 Armour Street, Tifton, Georgia (GA) 31794, United States (USA)"
173885807,"Tyson Foods, Inc","2011 Old Hanceville Highway, Cullman, Alabama (AL) 35055, United States (USA)"
058832122,"Tyson Foods, Inc","179 Roaring River Rd, Roaring River, North Carolina (NC) 28669, United States (USA)"
788341832,"Tyson Foods, Inc","200 Carnes Chapel Rd, Attalla, Alabama (AL) 35954, United States (USA)"
969190032,"Tyson Foods, Inc","5100 Tim Rice Rd, South Fulton, Tennessee (TN) 38257, United States (USA)"
030336085,"Tyson Foods, Inc","207 S Bay St, Snow Hill, Maryland (MD) 21863, United States (USA)"
827875357,"Tyson Foods, Inc","1938 W. Patrick Henry Highway, Jetersville, Virginia (VA) 23083, United States (USA)"
428179329,Italfarmaco SPA,"viale Fulvio Testi 330, Milan, - 20126, Italy (ITA)"
005111786,"Hobart Laboratories, Inc","7736 Grant Creek Rd NW, Bemidji, Minnesota (MN) 56601, United States (USA)"
117509092,"Vantage Specialty Ingredients, Inc.","707 Harco Dr, Englewood, Ohio (OH) 45315, United States (USA)"
656128618,"Delta Synthetic Co., Ltd.","15, Minsheng St., Tucheng District, New Taipei City 236044, Taiwan (TWN)"
057575797,"Tyson Foods, Inc","2504 Church St., Gonzales, Texas (TX) 78629, United States (USA)"
058088576,"Tyson Foods, Inc","RR 1 Box 546, Westville, Oklahoma (OK) 74965, United States (USA)"
781992540,"STATE HEALTH SERVICES, TEXAS DEPARTMENT OF","1111 W. North Loop BLVD, Austin, Texas (TX) 78756, United States (USA)"
883854903,"Tyson Foods, Inc","Route 1 Box 608-1, Broken Bow, Oklahoma (OK) 74728, United States (USA)"
151824091,Animal Science Products Inc.,"3418 Rayburn Drive, Nacogdoches, Texas (TX) 75961, United States (USA)"
791721038,"Tyson Foods, Inc","1679 Crawford Hwy S, Clarksville, Arkansas (AR) 72830, United States (USA)"
007980853,"Tyson Foods, Inc","201 Kingsberry Rd, Holdenville, Oklahoma (OK) 74848, United States (USA)"
027958177,"Tyson Foods, Inc","4601 Emmett Sanders Rd, Pine Bluff, Arkansas (AR) 71601, United States (USA)"
128047003,"Cobb Vantress, LLC","2125 N County Club Rd, Siloam Springs, Arkansas (AR) 72761, United States (USA)"
021738554,"Tyson Foods, Inc","495 Highway 64 NW, Ramsey, Indiana (IN) 47166, United States (USA)"
005290028,"Weeks & Leo Co., Inc.","2075 NW 92nd Ct, Clive, Iowa (IA) 50325, United States (USA)"
627984446,"Roquette America, Inc.","1003 South 5th St., Keokuk, Iowa (IA) 52632, United States (USA)"
