ndc_id,ndc_code,spl_set_id,status,message,xml_path
14334,80425-0223,fb5d3ec8-8866-881d-e053-6294a90a1cc5,fail,undefined local variable or method 'path' for main,
14335,80425-0476,2a85bd43-419c-6ed7-e063-6294a90a84d4,fail,undefined local variable or method 'path' for main,
14336,80661-013,e9484593-354e-4eac-8b60-1b23fd5b0919,fail,undefined local variable or method 'path' for main,
14337,81033-025,1a65c3ed-0a59-4454-9447-8bf761ed9f33,fail,undefined local variable or method 'path' for main,
14338,76370-0004,391cc18f-ce63-5d88-e054-00144ff88e88,fail,undefined local variable or method 'path' for main,
14339,76420-226,85a963c1-9c13-4eb7-826b-08d5a991fe28,fail,undefined local variable or method 'path' for main,
14340,76420-641,51fd0589-e551-4583-98e1-1e8db19d7e6d,fail,undefined local variable or method 'path' for main,
14341,76420-925,db22e9e5-2d88-4712-a809-c00881edb447,fail,undefined local variable or method 'path' for main,
14342,76585-010,afd8c2d9-4c04-2129-e053-2a95a90a29d3,fail,undefined local variable or method 'path' for main,
14343,77790-022,00da365d-2988-9c9e-e063-6294a90a8931,fail,undefined local variable or method 'path' for main,
14344,80327-002,afebbc7a-ed03-9b3c-e053-2a95a90a3d95,fail,undefined local variable or method 'path' for main,
14346,0591-2406,32549c43-f8ff-422c-b42d-ca0877e661cf,fail,undefined local variable or method 'path' for main,
14347,0591-2712,f5c7b8cb-a81f-4b13-b3c4-f6edaf880d3b,fail,undefined local variable or method 'path' for main,
14348,79903-277,1cc1f6fd-67d4-b314-e063-6294a90ab995,fail,undefined local variable or method 'path' for main,
14349,83027-0085,e476127e-105e-4e5c-8d94-147dd97c9288,fail,undefined local variable or method 'path' for main,
14350,0615-8539,27ba8a69-b5aa-40eb-89f7-6bf2c1fcceae,fail,undefined local variable or method 'path' for main,
14351,83324-015,2537b47e-f078-4d29-a6cc-830ad8311ac4,fail,undefined local variable or method 'path' for main,
14352,0641-0948,d545105f-27dc-4820-b0b1-fcf17e0be0f0,fail,undefined local variable or method 'path' for main,
14353,83566-115,1a83fc70-3487-1774-e063-6394a90a7456,fail,undefined local variable or method 'path' for main,
14354,81351-004,bd344007-895e-30d6-e053-2a95a90a019d,fail,undefined local variable or method 'path' for main,
14355,81665-300,d724b5b4-6654-4bf5-9eed-e2c7943084ed,fail,undefined local variable or method 'path' for main,
14356,82009-034,7362f930-0879-451e-8de9-8bb8565bfb7e,fail,undefined local variable or method 'path' for main,
14357,82123-018,c5d52f13-a649-9579-e053-2a95a90a062c,fail,undefined local variable or method 'path' for main,
14358,82347-0005,d28d7202-1278-0486-e053-2995a90af286,fail,undefined local variable or method 'path' for main,
