ndc_id,ndc_code,location_id
9095,47335-472-13,1
9309,72888-152-01,21
7596,0338-0023-04,12
10134,0338-0023-03,28
9611,0990-7922-55,29
10392,0409-6637-14,24
10433,79672-613-03,39
10432,79672-613-03,40
8720,44567-611-10,56
8724,44567-611-10,56
1030,0832-1054-11,48
10344,0409-2344-01,24
5416,42858-166-01,61
10420,76297-001-41,40
12882,76297-001-11,62
5104,0409-9094-61,24
8285,57664-052-88,0
5561,57664-050-88,66
10601,60505-6282-1,72
1961,63323-485-57,10
10579,63323-485-27,45
10645,57664-609-88,0
8851,0409-4264-01,23
575,0409-1610-50,2
970,0409-1560-10,2
10814,63323-286-31,89
14055,63323-286-63,89
7300,0338-0049-48,27
14189,0338-0049-18,27
9433,0338-0049-11,28
8766,63323-288-10,10
8322,63323-285-13,11
7868,70010-113-01,106
12033,0409-4776-01,24
12021,0409-4776-01,23
9795,13107-070-01,111
11114,13107-069-01,111
1889,0406-5116-01,117
5493,43066-557-12,13
3031,43598-439-01,63
11537,47335-326-88,0
11622,0264-7800-20,120
11648,0990-7983-61,29
9198,0409-9042-01,2
13944,0409-1162-02,2
4985,0409-2308-01,2
8189,0338-1075-02,12
4126,0169-7708-21,137
5145,55150-200-10,34
6248,55150-167-10,34
12568,0338-0066-20,28
3113,63323-185-10,10
1278,55150-225-05,33
13403,55150-226-10,33
13397,55150-226-10,34
13286,66794-160-02,51
1350,63323-806-01,10
13527,65282-1605-1,179
13517,65282-1605-1,114
8824,54288-165-01,184
6892,0409-6102-27,2
13811,0409-6102-26,24
7562,47335-931-44,0
9991,43547-604-10,41
13933,0338-0004-04,14
14082,83090-007-10,171
14108,0832-0542-11,47
2522,42806-799-30,166
4226,0338-9543-06,28
167,0054-0375-25,193
3988,0054-0372-25,194
257,0517-1004-25,206
3825,71288-203-05,65
2461,0409-4910-34,24
2588,70121-1389-7,213
2701,55150-163-30,34
2739,63323-280-02,10
3766,0574-2415-65,221
3068,0338-0553-18,12
2911,0338-0553-11,26
3136,0338-0719-06,25
4767,76045-107-10,58
3724,0555-9131-67,227
6164,76045-121-11,58
4023,36000-282-25,237
9003,0409-4888-50,24
